...1	ola - Ola Medicion	F1 - FiltroF1.  ¿Es usted la persona que administra la cuenta que su empresa tiene con el/los operadores de productos o servicios fijos?	"P2__1 - a.	Internet Banda Ancha :"	"P2__2 - b.	Red privada de datos/Transmisión de datos (MPLS) :"	"P2__3 - c.	Telefonía Fija :"	"P3 - Ahora hablaremos de su relación con Entel
    3.	Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?"	"P4 - 4.	¿Por qué evalúa con esa nota? Sondear y profundizar"	"P5__A - a)	Entel es una empresa con buena imagen en general :"	"P6 - 6.	Pensando en el funcionamiento del servicio… {#P6_aux}, ¿con qué nota de 1 a 7,evalúa el Funcionamiento de este servicio en general?"	"P7__1 - a)	Precio de los servicios en relación al mercado (Competitividad) :"	P7__2 - b) Competitividad de planes en cuanto a Internet banda ancha :	"P8 - 8.	Y en lo que respecta a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está usted con ENTEL?"	P9__1 - Contratación de nuevos servicios : RU cada una	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P9__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P9__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P9__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P10__1 - Contratación de nuevos servicios : RU cada una	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P10__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P10__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P10__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P11__1 - Contratación de nuevos servicios : RM cada una	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RM cada una	P11__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RM cada una	P11__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RM cada una	P11__5 - Reclamos por fallas técnicas de los servicios fijos : RM cada una	"P11_1__1 - a)	La facilidad para reportar el reclamo a Entel : RU cada una"	"P11_1__2 - b)	la Rapidez de respuesta a su reclamo por parte de Entel : RU cada una"	P12__1 - Ejecutivo asignado :	P12__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P12__3 - Call Center Empresa :	P12__4 - Página Web Empresa :	P12__5 - Tiendas/ Sucursales :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa :	P13__5 - Tiendas/ Sucursales :	"P14 - FACTURACIÓN
       14.	En cuanto a la Facturación de todos los servicios fijos que tiene con ENTEL, en una escala de 1 a 7 ¿Cómo evalúa …?
       
       El Proceso de Facturación en general"	"P15 - MODULO INCIDENCIAS
         15. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por ENTEL?"	P16 - 16. ¿Qué problema ha tenido? Sondear	"P17 - LEALTAD
         17. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P18 - 18. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P19 - 19. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P22 - 22.	¿Cuál es el rubro de su empresa?"	"P24 - 24.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P27 - 27.	Sexo  (No preguntar):"	"P28 - 28.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...52	EMPTY LABEL - No Information Provided...53	EMPTY LABEL - No Information Provided...54	EMPTY LABEL - No Information Provided...55
92TmQee00GbD	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	4	MI OFICINA ESTÁ UBICADA EN UN LUGAR ESTRATÉGICO EN VALPARAISO Y NO TIENEN FIBRA ÓPTICA EN ESA ZONA Y NO TIENEN INTERÉS EN INSTALARLA TAMPOCO ENTONCES ES COMPLEJO, UNO TIENE QUE ESTAR LLAMANDO Y TIENE SUPERDITADO EL CABLE, EXCLUSIVAMENTE ESO, CONSIDERO QUE ES UN TEMA DE SERVICIO.	5	5	5	5	6	Sí	Sí	Sí	Sí	Sí	6	6	6	6	6	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	6	7	NA	NA	No	No	No	NA	NA	NA	NA	NA	6	No	NA	5	NS/NR	Sí	MEDIANA	NEGOCIOS NAVIERO	VALPARAISO	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
kuOmDqCZZC9j	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	ES UN SERVICIO BUENO DE BUEN NIVEL NO SE ESTA CAYENDO ES BASTANTE ESPERABLE SON UN POCO MAS CARO PERO EL SERVICIO ES MUCHO SUPERIOR.	7. En absoluto acuerdo	7. Muy satisfecho	6	6	7	No	No	No	Sí	No	NA	NA	NA	7	NA	NA	NA	NA	A través de la web con clave	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	6	NA	7	No	NA	7	7	Sí	PEQUEÑA	CONSTRUCTORA	REGION 4,COMUNA DE COQUIMBO	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
4wvRIpeucA94	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	LA VERDAD ES LA EMPRESA QUE MEJOR SEÑAL TIENE A LO LARGO DE CHILE NO TENEMOS PROBLEMAS CON LA SEÑAL, SOMOS CLIENTES HACE MUCHO TIEMPO	7. En absoluto acuerdo	7. Muy satisfecho	6	6	6	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	NA	NA	NA	NA	NA	7	No	NA	6	6	Sí	PEQUEÑA	MINERIA	LAS CONDES	Mujer	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
VQ3IK9zy6XIr	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	"PORQUE CONSIDERO QUE NINGUNA DE LAS COMPAÑIAS ES TOTALMENTE CONFIABLE, O SEA ESO NO SOLO VA PARA ENTEL, YO HE RECORRIDO PRÁCTICAMENTE TODAS Y TODAS TIENEN PROBLEMA; SE CORTA LA BANDA ANCHA Y DE REPENTE NO HAY TELEVISÓN."	4	4	5	5	2	No	Sí	No	No	Sí	NA	5	NA	NA	5	NA	A través del Call Center empresa	NA	NA	A través del Call Center empresa	3	5	NA	NA	No	No	No	NA	NA	NA	NA	NA	4	No	NA	4	4	Sí	MICRO	DELIVERY	LA REINA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
RiXxI9B24m1o	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	DEJARON DE COBRAR POR EL PAC Y HAY QUE HAY QUE ESTAR BUSCANDO LAS CUENTAS POR INTERNET.	6	7. Muy satisfecho	5	5	3	No	No	No	Sí	No	NA	NA	NA	2	NA	NA	NA	NA	A través de la web con clave	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	2	6	NA	1	Sí	DEJARON DE COBRAR LOS PAC DE ALGUNOS SERVICIOS.	7	6	Sí	MEDIANA	ARQUITECTURA Y CONSTRUCCION	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
YZB8kpspRtsW	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy satisfecho	POR QUE NO HE TENIDO PROBLEMAS	7. En absoluto acuerdo	7. Muy satisfecho	6	6	7	No	Sí	Sí	No	No	NA	7	7	NA	NA	NA	En tienda/ sucursales	En tienda/ sucursales	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	7	7	NA	7	No	NA	7	7	Sí	MICRO	SERVICIO MEDICOS	chillan	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
rEgd1jzrP65a	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	"LA CALIDAD DE LOS DOS PRODUCTOS YO CREO QUE ES SUSCEPTIBLE A BASTANTE MEJORÍA, LAS COMUNICACIONES TELEFÓNICAS SON BASTANTE DEFICIENTES Y HAY QUE HACER UN GRAN ESFUERZO DE ENTENDER A LA OTRA PERSONA PORQUE LA CALIDAD NO ES BUENA, EN MATERIA DE INTERNET HAY HORARIOS EN QUE ES MUY DEFICIENTE, SOBRE TODO EN VELOCIDAD; FUNDAMENTALMENTE ESO, ES UN SERVICIO QUE FUNCIONA, FUNCIONA TODOS LOS DÍAS, NO HAY INTERRUPCIONES PERO ES SUSCEPTIBLE A MEJORAR."	6	5	5	5	4	No	No	Sí	Sí	No	NA	NA	4	5	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	4	NA	NA	5	No	NA	5	4	Sí	MICRO	LAVANDERÍA	PROVIDENCIA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
0NNOjBxLpx9F	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	EN TERMINOS DE INTERNET TENGO UNA CONEXION BANDA ANCHA LA CUAL HAY LIMITACIONES DE CAPACIDAD EN EL SECTOR DONDE ESTOY 90/30, EN EL SECTOR NO PERMITE UNA ACTUALIZACION DE SUBIDA DE BANDA. TELEFONIA FIJA HA ANDADO MUY BIEN.LE HA PERMITIDO MANTENER LAS HERRAMIENTAS QUE LE DA UN NUMERO MOVIL EN TELEFONIA FIJA, ASI NO PIERDE LAS LLAMADAS FIJAS.	6	6	6	6	5	Sí	Sí	No	No	No	5	5	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	Sí	NA	NA	5	6	6	7	Sí	ENTEL REALIZO UN CAMBIO DE SERVICIO DE INTERNET Y LE COLOCO FIBRA OPTICA PERO SE LE OLVIDO DAR DE BAJA EL DOBLE COBRE, Y ESO FIGURO UNA DEUDA EN ENTEL, REALIZO UN RECLAMO EN LA SUPERINTENDENCIA YA QUE FIGURO MOROSO POR ESTE DESORDEN ADMINISTRATIVO DE ENTEL. NUNCA LE COMUNICARON QUE EL DEBIA.	6	5	Sí	MICRO	ASESORIAS Y TELECOMUNICACIONES	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
ovEAzBbfKSL4	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	6	"PORQUE EL SERVICIO ES BUENO, EL SERVICIO TÉCNICO ES BUENO; CUANDO LOS LLAMO ME CONTESTAN AL TIRO. EL SERVICIO ES BUENO EN QUE PRESENTA POCAS FALLAS, ES RÁPIDO HABLANDO DE INTERNET."	6	6	6	6	6	No	No	No	No	Sí	NA	NA	NA	NA	6	NA	NA	NA	NA	Ejecutivo asignado	6	6	Sí	NA	Sí	Sí	No	6	NA	6	6	NA	6	No	NA	7	6	Sí	MEDIANA	TRANSPORTE	ÑUÑOA	Mujer	SANTIAGO	AP	GGEE	EMPRESAS	Stock Fijo
F3IrDwHinN2M	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE EL SERVICIO ES BUENO NO SE CAE QUE NO SE CAE	7. En absoluto acuerdo	7. Muy satisfecho	5	5	NS/NR	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	FERRETERIA	MAIPU	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
VcSO0fpjza71	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	"PORQUE TENGO BUEN SERVICIO; NO SE ME CAE EL INTERNET EN QUE SIEMPRE TENGO INTERNET Y EN OTRAS EMPRESAS SE LE CAE EL INTERNET. YO TENGO BUEN SERVICIO EN ESE ASPECTO."	7. En absoluto acuerdo	7. Muy satisfecho	4	5	7	No	No	No	Sí	No	NA	NA	NA	7	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	7	7	NA	7	No	NA	7	5	Sí	PEQUEÑA	COMUNIDAD	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
EBUdnkT96vxt	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	POR QUE SIEMPRE HEMOS TENIDO  PROBLEMAS CON ENTEL EN NUESTRA EMPRESA, ES MUY BAJA LA CALIDAD DEL INTERNET, NO TENEMOS SEÑAL//NO DA MAS INFORMACION	5	3	6	6	6	Sí	No	Sí	Sí	Sí	6	NA	6	6	6	Ejecutivo asignado	NA	Ejecutivo asignado	Ejecutivo asignado	A través de la web con clave	5	3	Sí	NA	Sí	Sí	Sí	6	NA	6	6	6	6	Sí	NO FUNCIONARON LOS EQUIPOS QUE SE COMPRARON, LA SOLUCION QUE NOS BRINDO ENTEL  HA SIDO LENTA, Y ES LA HORA DESPUES DE HABER HECHO EL RECLAMO LOS EQUIPOS AUN NO FUNCIONAN//NO DA MAS INFORMACION	5	4	Sí	PEQUEÑA	IMPORTADORA Y COMERCIALIZADORA	SANTIAGO CENTRO	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
qOQAHWMhvqHp	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	7. Muy satisfecho	PORQUE LLEVAMOS 2 AÑOS Y NUNCA HEMOS TENIDO UN PROBLEMA. INCLUSIVE CUANDO HAY CORTE DE ENERGIA SE SOLUCIONAN RAPIDO	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	7	NA	7	No	NA	7	7	Sí	MICRO	EDIFICIO CORPORATIVO	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
6vueqPZGtcqH	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	NA	7. Muy satisfecho	SON RAPIDOS Y CONFIABLES CON RESPECTO A INFORMACION Y CONEXION	7. En absoluto acuerdo	7. Muy satisfecho	4	5	7	Sí	No	No	No	No	7	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	7	7	NA	7	No	NA	7	7	Sí	PEQUEÑA	LIBRERIA	SANTIAGO CENTRO	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
2Y3CTf1YF1ad	MEDICION SEPTIEMBRE 2020	Sí	Mundo Pacífico	Entel	Entel	5	"PORQUE TIENE PROBLEMAS DE CONECTIVIDAD EN EL INTERNET Y LA TELEFONÍA FIJA PORQUE LA TELEFONÍA ESTA CONECTADA CON EL INTERNET; TIENE BAJAS EN LA CONECTIVIDAD Y NO RESPONDEN PRONTAMENTE EN LA PARTE DE SOPORTE."	6	5	4	4	4	No	No	No	No	Sí	NA	NA	NA	NA	5	NA	NA	NA	NA	A través del Call Center empresa	6	5	No	NA	Sí	Sí	No	NA	NA	5	5	NA	6	Sí	"SE HA CAÍDO VARIAS VECES LA CONEXIÓN; SI SE CAE EL INTERNET SE CAE TELEFONÍA FIJA TAMBIÉN."	4	5	Sí	MICRO	TEATRO	SAN JAVIER	Mujer	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
DuTfDtvczpvs	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel,Otra ¿Cuál?	6	son bastantes buenos, no ha tenido mayor inconvenientes con entel y la atención telefónica es buena	7. En absoluto acuerdo	7. Muy satisfecho	5	5	7	No	No	No	No	Sí	NA	NA	NA	NA	7	NA	NA	NA	NA	A través de la web con clave	7	7	NA	NA	Sí	No	No	NA	NA	7	NA	NA	7	Sí	falla en la fibra óptica, falla con los cables de conexión	7	7	Sí	MICRO	administración de edificios	las condes, santiago	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
0h0sfnpcZitB	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Telefónica/ Movistar	5	PORQUE HAY PROPBELMAS DE CONEXION SE CAE LA SEÑAL DE INTERNET	6	5	5	5	5	No	No	No	No	Sí	NA	NA	NA	NA	6	NA	NA	NA	NA	A través del Call Center empresa	6	6	No	NA	No	Sí	No	NA	NA	NA	6	NA	6	No	NA	5	5	Sí	MEDIANA	AGRICOLA TRANSPORTE	CURICO	Mujer	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
Ay3B4JkXje7g	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	ERA MUY BUENO ANTES, ULTIMAMENTE HA NOTADO QUE ENTEL TIENE MUCHOS CLIENTES YA QUE TIENE PROBLEMAS EN LA COMUNICACION. ANTES LLAMABA AL CALL CENTER Y LO ATENDIAN, PERO AHORA YA NO LE CONTESTAN, POR LA SATURACION.	7. En absoluto acuerdo	5	7	6	6	Sí	Sí	No	Sí	No	7	6	NA	7	NA	NS/NR <b>(NO LEER)</b>	NS/NR <b>(NO LEER)</b>	NA	NS/NR <b>(NO LEER)</b>	NA	NA	NA	NA	NA	Sí	Sí	Sí	NA	NA	6	6	7	7	No	NA	7	6	Sí	PEQUEÑA	CONSULTORIA	SANTIAGO CENTRO/ PROVIDENDCIA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
tQ4J8pMdDV6B	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE ANDA BIEN PERO NO PERFECTO, ATIEDE BIEN PERO DE REPENTE HAY INTERRUPCION EN EL INTERNET	6	5	6	5	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	6	NA	NA	5	Sí	NO ME LLEGO LA FACTURA	6	6	Sí	PEQUEÑA	SERVICIOS	CURICO	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
quPWoHd2rtKU	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE ME GUSTA EL SEIS.	6	6	6	6	6	No	No	No	No	Sí	NA	NA	NA	NA	6	NA	NA	NA	NA	A través del Call Center empresa	6	6	NA	NA	Sí	No	No	NA	NA	6	NA	NA	6	Sí	INTERNET SE A CAIDO.	6	7	Sí	MICRO	DISTRIBUIDORA DE CONFITE	LA CONDE	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
cBfmXjs8d6J9	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	NO HEMOS TENIDO PROBLEMAS CUANDO UNO LLAMA RESUELVEN RAPIDO CUANDO HICIERON LA INSTALACION DEL INTERNET FUE RAPIDO	6	6	6	6	6	Sí	Sí	No	No	No	6	6	NA	NA	NA	NS/NR <b>(NO LEER)</b>	NS/NR <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	6	6	NA	6	No	NA	6	6	Sí	PEQUEÑA	SERVICIOS DE CONTABILIDAD Y AUDITORIA	PROVIDENCIA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
byirlJSLL1AK	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Telefónica/ Movistar	6	PORQUE EN ALGUNOS MOMENTOS NO RESPONDEN INMEDIATAMENTE, CUANDO TENEMOS ALGUNOS PROBLEMAS CON LA RED, SE BAJA EL NIVEL DE LA RED O SE DESCONECTA, ENTONCES NO HAY RESPUESTA.	7. En absoluto acuerdo	5	7	7	7	No	No	Sí	Sí	Sí	NA	NA	6	7	5	NA	NA	A través de la web con clave	A través del Call Center empresa	A través del Call Center empresa	6	6	Sí	NA	Sí	Sí	No	6	NA	6	5	NA	5	Sí	ALGUNOS EQUIPOS QUE EL NIVEL DEL INTERNET HA BAJADO TUVIERON QUE LLAMAR NUESTROS TECNICOS Y CORDINAR CON LOS DE ENTEL.	7	7	Sí	PEQUEÑA	TRABAJO LOGISTICO DE IMPORTE	ARICA	Mujer	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
YPfar3rcuDEg	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE EN GENERAL ES BUENO EL SERVICIO, TIENE BUENA ATENCION POST VENTA RESPONDEN, VEO PREOCUPACION POR LOS CLIENTES, SOLO ESO.	5	7. Muy satisfecho	7	7	7	Sí	No	No	No	No	7	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	NA	NA	Sí	No	No	No	No	7	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	MINERIA	LAS CONDES SANTIAGO	Mujer	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
TlYe4yqLhd5s	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	Telefónica/ Movistar	6	PORQUE NO ES PERFECTO, IGUAL CON LA PANDEMIA HUBO COSAS TEDIOSAS PARA HACERLAS, APGOS RESPUESTAS NO LLEGABAN DE INMEDIATO, DEMORA, UNA VEZ QUEDARON SIN SERVICIO Y DEMORARON 2 DIAS	7. En absoluto acuerdo	7. Muy satisfecho	5	5	6	No	Sí	Sí	Sí	Sí	NA	5	7	7	5	NA	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	7	5	Sí	NA	Sí	Sí	No	6	NA	6	6	NA	5	Sí	QUEDARON SIN SITEMA Y DEMORARON EN REPONERLO	5	5	Sí	MEDIANA	SERVICIOS INFORMATICOS	SANTIAGO CENTRO	Mujer	SANTIAGO	AP	GGEE	EMPRESAS	Stock Fijo
smDG96eHwEsK	MEDICION SEPTIEMBRE 2020	Sí	Claro/ Telmex,Entel,Telefónica/ Movistar	NA	Claro/ Telmex,Entel	6	PORQUE TODAS LAS EMPRESAS DE COMUNICACIÓN OFRECEN LO MISMO, NO ES SOLAMENTE ENTEL, SINO QUE UNA VEZ EL SERVICIO SE VENDE, LOS EJECUTIVOS COMERCIALES DESAPARECEN, QUE NO SON PROACTIVOS, LA TECNOLOGÍA VA CAMBIANDO RÁPIDAMENTE Y ESA TECNOLOGÍA SI EL CLIENTE NO LA PIDE, EL PROVEEDOR NUNCA TE LA OFRECE.	6	6	6	6	5	Sí	Sí	Sí	Sí	Sí	5	5	6	7	6	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	6	5	Sí	No	No	No	No	5	NA	NA	NA	NA	7	Sí	MALA CALIDAD DE SERVICIO EN LA CIUDAD DE CASA BLANCA, SERVICIO DE INTERNET FIJO O SEA INTERNET DEDICADO.	6	6	Sí	GGEE	CONSTRUCTURA	SANTIAGO	Hombre	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
HwcOYQQx8VwF	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	porque nos a resuelven todo cada vez que lo necesitamos cuando hay indicidencia nos han suolicionado los problemas en un tiempo adecuados.	7. En absoluto acuerdo	6	7	6	6	No	No	No	No	Sí	NA	NA	NA	NA	7	NA	NA	NA	NA	Ejecutivo asignado	6	6	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	6	Sí	PEQUEÑA	justicia electoral	valparaiso	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
C76t1dtkqCpE	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	"PORQUE EL SERVICIO EN GENERAL ES BUENO, PERO CADA CIERTO TIEMPO PRESENTA ALGUNA FALLA; LOS DATOS SE TRASMITEN BASTANTE RÁPIDO, ES MUY RARO QUE DEJE DE FUNCIONAR LA TRANSMISIÓN DE DATOS DIGAMOS LA INTERNET, EN TELEFONÍA PRESENTA ALGUNAS CAÍDAS ESPORADICAS Y POR ESAS CAIDAS TAMBIÉN NO QUEDA MEJOR EVALUADO."	6	6	4	6	6	No	No	No	No	Sí	NA	NA	NA	NA	5	NA	NA	NA	NA	A través del Call Center empresa	6	5	No	No	Sí	Sí	No	NA	NA	6	6	NA	6	Sí	"FALLAS EN SERVICIO DE TELEFONÍA; O SEA SE CORTAN A VECES LAS REDES O A VECES EXISTEN SONIDOS DE MENOR CALIDAD."	6	6	Sí	PEQUEÑA	ADMINISTRACIÓN PÚBLICA	SAN FERNANDO	Hombre	REGIONES	MV	Mediana	MEDIANAS	Stock Fijo
gYdSWpyTOKtZ	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Telefónica del Sur	7. Muy satisfecho	"PORQUE TIENE BUEN SERVICIO EN QUE NO SE CORTA; ES PERMANENTE Y CONTINUO Y TAMBIÉN LA EJECUTIVA SIEMPRE ESTÁ ATENTA Y CONVERSANDO CON NOSOTROS."	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	Sí	Sí	Sí	No	No	7	7	7	NA	NA	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	NA	Sí	NA	No	No	No	7	NA	NA	NA	NA	7	No	NA	7	7	Sí	MEDIANA	SERVICIOS	PUERTO CHACABUCO	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
808K3zVMfkhB	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	POR QE FALTA INFORMACION DE FACTRRACIONES	6	6	6	6	5	Sí	No	No	Sí	No	7	NA	NA	5	NA	Ejecutivo asignado	NA	NA	Ejecutivo asignado	NA	NA	NA	Sí	NA	No	Sí	Sí	5	NA	NA	6	5	5	No	NA	5	6	Sí	MICRO	EVOCAQCION	LIARES	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
rRmqhluhjh3I	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	SERVICIO DE POST VENTA ES MALO ES BUENO PERO CUANDO HAY PROBLEMAS CUESTA CONTACTARSE, DIFICIL CONECTIVIDAD DERIVACIONES EJECUTIVOS QUE NO SOLUCIONAN NO SE ADELANTAN A SOLUCIONAR	6	6	5	5	5	No	No	Sí	No	No	NA	NA	6	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	5	NA	NA	5	No	NA	5	5	Sí	MICRO	ASESORIA LEGALES	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
QPH5DG62wggM	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	LA CALIDAD DEL SERVIVIO, SERVICIO POST VENTA. PROBLEMA LLAMAS LO ATIENDEN DE INMEDIATO. PROBLEMAS ELLOS ATIENDEN Y VAN A SOLUCIONAR EL PROBLEMA	7. En absoluto acuerdo	6	6	6	7	Sí	No	No	No	Sí	7	NA	NA	NA	7	A través del Call Center empresa	NA	NA	NA	A través del Call Center empresa	7	7	NA	NA	Sí	No	No	NA	NA	7	NA	NA	9. NS/NR	Sí	CONFIGURACIÓN DE UN SERVICIO DE INTERNET.	7	7	Sí	MICRO	CONSULTA MEDICA	PROVIDENCIA Y SANTIAGO CENTRO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
